USER:test | ADDR:test
QUESTION:teat
--- RAW 150 ENTROPY POOL ---
[000][H] 0.798990
[001][H] 0.611480
[002][H] 0.569868
[003][H] 0.333939
[004][H] 0.170495
[005][H] 0.698230
[006][H] 0.976199
[007][H] 0.903313
[008][H] 0.699362
[009][H] 0.996481
[010][H] 0.559668
[011][H] 0.896985
[012][H] 0.284297
[013][H] 0.225879
[014][H] 0.676242
[015][H] 0.535335
[016][H] 0.242049
[017][H] 0.404659
[018][H] 0.484386
[019][H] 0.412972
[020][H] 0.287241
[021][H] 0.694348
[022][H] 0.761680
[023][H] 0.567953
[024][H] 0.441877
[025][H] 0.290915
[026][H] 0.614445
[027][H] 0.316739
[028][H] 0.776143
[029][H] 0.326713
[030][H] 0.277531
[031][H] 0.503467
[032][H] 0.874259
[033][H] 0.132120
[034][H] 0.587898
[035][H] 0.517696
[036][H] 0.005140
[037][H] 0.084068
[038][H] 0.880494
[039][H] 0.707317
[040][H] 0.759896
[041][H] 0.624041
[042][H] 0.705659
[043][H] 0.936033
[044][H] 0.030826
[045][H] 0.573501
[046][H] 0.368127
[047][H] 0.570865
[048][H] 0.169218
[049][H] 0.587131
[050][E] 0.301061
[051][E] 0.167712
[052][E] 0.020733
[053][E] 0.408836
[054][E] 0.739891
[055][E] 0.850677
[056][E] 0.057469
[057][E] 0.780519
[058][E] 0.892752
[059][E] 0.830005
[060][E] 0.681725
[061][E] 0.182368
[062][E] 0.391376
[063][E] 0.936357
[064][E] 0.590120
[065][E] 0.925918
[066][E] 0.361213
[067][E] 0.665336
[068][E] 0.427200
[069][E] 0.538044
[070][E] 0.530564
[071][E] 0.953056
[072][E] 0.114754
[073][E] 0.555400
[074][E] 0.421887
[075][E] 0.394110
[076][E] 0.929351
[077][E] 0.999314
[078][E] 0.261314
[079][E] 0.192773
[080][E] 0.777843
[081][E] 0.349830
[082][E] 0.487756
[083][E] 0.772668
[084][E] 0.216175
[085][E] 0.843696
[086][E] 0.929390
[087][E] 0.277548
[088][E] 0.380659
[089][E] 0.836619
[090][E] 0.279846
[091][E] 0.190192
[092][E] 0.002441
[093][E] 0.680886
[094][E] 0.515277
[095][E] 0.266208
[096][E] 0.821647
[097][E] 0.005208
[098][E] 0.994267
[099][E] 0.731756
[100][P] 0.803861
[101][P] 0.918968
[102][P] 0.746382
[103][P] 0.720911
[104][P] 0.898127
[105][P] 0.622096
[106][P] 0.030270
[107][P] 0.414482
[108][P] 0.323007
[109][P] 0.769496
[110][P] 0.792250
[111][P] 0.861645
[112][P] 0.357164
[113][P] 0.787519
[114][P] 0.666614
[115][P] 0.205870
[116][P] 0.939731
[117][P] 0.375338
[118][P] 0.586430
[119][P] 0.355019
[120][P] 0.517659
[121][P] 0.190057
[122][P] 0.881073
[123][P] 0.957626
[124][P] 0.139496
[125][P] 0.369657
[126][P] 0.641264
[127][P] 0.576449
[128][P] 0.225804
[129][P] 0.145448
[130][P] 0.780323
[131][P] 0.276885
[132][P] 0.968384
[133][P] 0.200981
[134][P] 0.936113
[135][P] 0.702449
[136][P] 0.322795
[137][P] 0.666351
[138][P] 0.178115
[139][P] 0.682068
[140][P] 0.776926
[141][P] 0.177312
[142][P] 0.308028
[143][P] 0.584336
[144][P] 0.887599
[145][P] 0.361698
[146][P] 0.395835
[147][P] 0.796034
[148][P] 0.468530
[149][P] 0.120741

--- COLLAPSE SELECTION ---
[COLLAPSE_STALK_00] INDEX:146 TAG:P VAL:0.395835
[COLLAPSE_STALK_01] INDEX:094 TAG:E VAL:0.515277
[COLLAPSE_STALK_02] INDEX:069 TAG:E VAL:0.538044
[COLLAPSE_STALK_03] INDEX:015 TAG:H VAL:0.535335
[COLLAPSE_STALK_04] INDEX:080 TAG:E VAL:0.777843
[COLLAPSE_STALK_05] INDEX:103 TAG:P VAL:0.720911
[COLLAPSE_STALK_06] INDEX:038 TAG:H VAL:0.880494
[COLLAPSE_STALK_07] INDEX:137 TAG:P VAL:0.666351
[COLLAPSE_STALK_08] INDEX:025 TAG:H VAL:0.290915
[COLLAPSE_STALK_09] INDEX:120 TAG:P VAL:0.517659
[COLLAPSE_STALK_10] INDEX:039 TAG:H VAL:0.707317
[COLLAPSE_STALK_11] INDEX:064 TAG:E VAL:0.590120
[COLLAPSE_STALK_12] INDEX:118 TAG:P VAL:0.586430
[COLLAPSE_STALK_13] INDEX:111 TAG:P VAL:0.861645
[COLLAPSE_STALK_14] INDEX:106 TAG:P VAL:0.030270
[COLLAPSE_STALK_15] INDEX:057 TAG:E VAL:0.780519
[COLLAPSE_STALK_16] INDEX:138 TAG:P VAL:0.178115
[COLLAPSE_STALK_17] INDEX:062 TAG:E VAL:0.391376
[COLLAPSE_STALK_18] INDEX:095 TAG:E VAL:0.266208
[COLLAPSE_STALK_19] INDEX:107 TAG:P VAL:0.414482
[COLLAPSE_STALK_20] INDEX:147 TAG:P VAL:0.796034
[COLLAPSE_STALK_21] INDEX:045 TAG:H VAL:0.573501
[COLLAPSE_STALK_22] INDEX:122 TAG:P VAL:0.881073
